Radius (m),Pixels,ΔElev_median (m),% Higher,% Lower,Slope_mean (°),Slope_median (°),Slope_P25 (°),Slope_P75 (°),% Flat <2°,% Gentle 2–5°,% Steep ≥5°,Convergence (%),Dominant Aspect (°),Dominant Aspect (cardinal)
50.0,7858,0.011,43.5,45.4,2.96,1.73,0.95,3.44,47.5,23.6,14.0,22.7,51.0,NE
200.0,125664,0.069,43.5,47.6,2.93,2.0,1.1,3.67,43.9,30.3,13.6,22.4,328.5,NW
500.0,785412,0.428,33.5,59.7,2.88,1.79,0.96,3.46,49.5,27.7,13.5,23.5,345.0,N
