Radius (m),Pixels,ΔElev_median (m),% Higher,% Lower,Slope_mean (°),Slope_median (°),Slope_P25 (°),Slope_P75 (°),% Flat <2°,% Gentle 2–5°,% Steep ≥5°,Convergence (%),Dominant Aspect (°),Dominant Aspect (cardinal)
50.0,7860,-0.036,43.5,37.0,7.16,2.48,1.22,8.32,31.7,17.6,23.8,23.2,320.4,NW
100.0,31424,0.01,36.9,38.4,8.08,3.62,1.45,11.27,23.7,15.9,29.7,24.0,356.5,N
200.0,125663,-0.009,38.8,37.0,6.91,2.92,1.29,9.27,27.4,16.7,26.0,23.4,2.0,N
300.0,282776,0.1,29.3,43.5,6.34,3.01,1.15,9.5,26.8,15.0,26.0,25.8,354.7,N
500.0,785432,0.086,31.5,48.5,5.28,2.22,0.9,7.48,35.9,15.4,24.5,25.7,356.3,N
